City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
349,Bubaque,GW,79.38,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
350,Elizabeth City,US,81.01,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
351,Roebourne,AU,75.56,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
352,Champerico,GT,84.34,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
355,Filadelfia,US,85.01,scattered clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
357,San Jeronimito,MX,84.97,broken clouds,17.55,-101.3333,Quinta Mamá Pía
358,Karratha,AU,75.78,broken clouds,-20.7377,116.8463,ibis Styles Karratha
360,Cairns,AU,79.11,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
366,Utraula,IN,89.6,broken clouds,27.3167,82.4167,Taj Hotel and Lodge
367,Xiaolan,CN,84.02,clear sky,22.6731,113.2295,Crowne Plaza Zhongshan
369,Port Hedland,AU,77.05,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
381,Kilindoni,TZ,78.93,light rain,-7.9139,39.6668,Bustani B&B
382,Pringsewu,ID,78.35,few clouds,-5.3582,104.9744,Urban Style by Front One
383,Kandrian,PG,84.15,light rain,-6.2167,149.55,Kandrian Station
385,Aksu,CN,78.85,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
386,Kirakira,SB,85.26,broken clouds,-10.4544,161.9205,SanBiz Lodge
387,Awbari,LY,80.01,clear sky,26.5921,12.7805,فندق أوباري
391,Pundaguitan,PH,82.2,light rain,6.3711,126.1689,Leonardo Family Beach House 1
393,Lar,IN,89.13,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
394,Humberto De Campos,BR,75.76,clear sky,-2.5983,-43.4611,Pousada do Cabeça
398,North Platte,US,85.89,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
401,Port-Gentil,GA,79.07,light rain,-0.7193,8.7815,Fengshui Residence
405,Pitimbu,BR,75.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
410,Middle Island,US,85.15,clear sky,40.8843,-72.9373,Camp Wilderness (not an actual campground)
413,Mayo,US,83.57,clear sky,38.8876,-76.5119,Resorts Resource Group International
418,Sur,OM,86.18,few clouds,22.5667,59.5289,Sur Plaza Hotel
419,Puerto Maldonado,PE,77.29,overcast clouds,-12.6,-69.1833,Wasai Hotel
421,Burley,US,84.11,clear sky,42.5357,-113.7928,Fairfield Inn & Suites by Marriott Burley
424,Hobyo,SO,77.68,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
427,Bogale,MM,84.29,overcast clouds,16.2833,95.4,Aung Pin Lel Guest House
431,Santa Rosa,PH,89.85,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
434,Nhulunbuy,AU,83.01,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
441,Ciudad Bolivar,VE,78.06,overcast clouds,8.1222,-63.5497,Hotel Edi
443,Los Algarrobos,PA,82.45,scattered clouds,8.5,-82.4333,Waterfall Hostel
445,Palmas,BR,78.67,broken clouds,-10.2128,-48.3603,Hotel Lago da Palma
446,Shelburne,CA,75.99,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
452,Ahuimanu,US,85.71,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
454,Kilinochchi,LK,79.84,overcast clouds,9.3961,80.3982,Solaivanam Guest House
455,Popondetta,PG,87.12,overcast clouds,-8.7537,148.2534,Timos Transit House
458,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
459,Morvi,IN,88.05,clear sky,22.8167,70.8333,Mahesh Hotel & Restaurant
461,Mateo,HN,77.41,few clouds,14.0833,-87.3167,caserio el aceituno
463,Acajutla,SV,83.8,overcast clouds,13.5928,-89.8275,asi es
471,Laizhou,CN,83.17,broken clouds,37.1717,119.9214,GreenTree Inn Yantai Laizhou South Road Unicom Building Express Hotel
472,Maiduguri,NG,86.18,overcast clouds,11.8464,13.1603,Kagel Mari Police Station
474,Vaitape,PF,80.76,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
475,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
476,Bobon,PH,85.26,overcast clouds,12.5246,124.5636,Binang and Cadio Resort
477,Noumea,NC,78.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
479,Manggar,ID,84.31,overcast clouds,-2.8833,108.2667,Guest Hotel
480,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
481,Hue,VN,84.31,scattered clouds,16.4667,107.6,Saigon Morin Hotel
482,Safaga,EG,79.3,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
483,Nisia Floresta,BR,77.38,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
485,Tomball,US,80.58,broken clouds,30.0972,-95.6161,La Quinta Inn & Suites by Wyndham Tomball
488,Dicabisagan,PH,87.3,moderate rain,17.0818,122.4157,Nancy Montanes Bernardo
