City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Atuona,-9.8,-139.0333,79.5,76,22,15.05,PF,2021-06-01 16:02:45
68,Rock Sound,24.9,-76.2,78.76,80,100,16.91,BS,2021-06-01 16:06:53
69,Qaqortoq,60.7167,-46.0333,57.7,56,25,8.9,GL,2021-06-01 16:06:54
70,Darnah,32.767,22.6367,69.91,66,67,17.34,LY,2021-06-01 16:06:54
71,Ilulissat,69.2167,-51.1,35.62,75,20,9.22,GL,2021-06-01 16:04:59
72,Bathsheba,13.2167,-59.5167,86.61,51,40,14.14,BB,2021-06-01 16:05:47
73,Aklavik,68.2191,-135.0107,30.2,86,90,10.36,CA,2021-06-01 16:05:49
74,Labuhan,-6.8844,112.2051,79.38,85,17,5.7,ID,2021-06-01 16:06:55
75,Harper,4.375,-7.7169,82.11,76,100,8.39,LR,2021-06-01 16:04:37
76,Alcudia,39.8532,3.1214,76.95,64,100,9.31,ES,2021-06-01 16:06:55
77,Pecos,31.4229,-103.4932,70.63,64,75,4.61,US,2021-06-01 16:05:08
78,Gizo,-8.103,156.8419,81.18,83,91,12.93,SB,2021-06-01 16:06:56
79,Amga,60.8953,131.9608,46.6,89,99,1.5,RU,2021-06-01 16:06:56
80,Huilong,31.8111,121.655,72.03,71,100,25.68,CN,2021-06-01 16:06:56
81,Hobart,-42.8794,147.3294,55.06,66,75,3.0,AU,2021-06-01 16:00:23
82,Namibe,-15.1961,12.1522,75.31,68,94,7.27,AO,2021-06-01 16:05:57
83,Puerto Ayora,-0.7393,-90.3518,74.55,89,93,5.99,EC,2021-06-01 16:04:39
84,Buzmeyin,38.0507,58.2056,91.13,33,0,6.44,TM,2021-06-01 16:06:57
85,Hobyo,5.3505,48.5268,79.86,78,90,21.14,SO,2021-06-01 16:06:58
86,Yellowknife,62.456,-114.3525,55.29,71,90,4.0,CA,2021-06-01 16:02:03
87,Tevriz,57.509,72.4042,50.83,57,34,3.6,RU,2021-06-01 16:06:58
88,Dullewala,31.8359,71.4362,96.62,23,0,7.45,PK,2021-06-01 16:06:59
89,San Quintin,30.4833,-115.95,64.13,73,42,6.31,MX,2021-06-01 16:04:43
90,Knysna,-34.0363,23.0471,57.58,82,8,6.26,ZA,2021-06-01 16:06:59
91,Lebu,-37.6167,-73.65,57.45,98,100,7.31,CL,2021-06-01 16:04:41
92,Caravelas,-17.7125,-39.2481,81.81,59,6,7.02,BR,2021-06-01 16:05:24
93,Pisco,-13.7,-76.2167,68.05,73,75,8.05,PE,2021-06-01 16:07:00
94,La Ronge,55.1001,-105.2842,57.16,73,94,5.95,CA,2021-06-01 16:04:58
95,Sakakah,29.9697,40.2064,99.07,11,51,2.01,SA,2021-06-01 16:06:00
96,Torbay,47.6666,-52.7314,66.97,93,90,24.16,CA,2021-06-01 16:05:41
97,Barrow,71.2906,-156.7887,28.42,86,90,17.27,US,2021-06-01 16:04:36
98,Jalu,29.0331,21.5482,92.05,18,0,13.94,LY,2021-06-01 16:07:03
99,San Juan,-31.5375,-68.5364,70.65,23,80,6.06,AR,2021-06-01 16:07:04
