City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Torbay,CA,47.6666,-52.7314,54.28,97,100,1.99,overcast clouds
70,East London,ZA,-33.0153,27.9116,56.62,65,0,12.06,clear sky
71,Hilo,US,19.7297,-155.09,82.27,70,75,11.5,broken clouds
72,Lagoa,PT,39.05,-27.9833,63.16,86,97,7.34,overcast clouds
73,Beatrice,US,40.2681,-96.747,83.84,42,1,12.66,clear sky
74,Hualmay,PE,-11.0964,-77.6139,64.0,83,26,8.88,scattered clouds
75,New Norfolk,AU,-42.7826,147.0587,51.93,68,100,1.99,overcast clouds
76,Whithorn,JM,18.2604,-78.0378,79.86,91,19,1.63,few clouds
77,Sambava,MG,-14.2667,50.1667,73.8,87,94,4.34,overcast clouds
78,Ahipara,NZ,-35.1667,173.1667,58.53,90,100,16.82,light rain
79,Ribeira Grande,PT,38.5167,-28.7,64.58,86,100,7.9,overcast clouds
80,Manadhoo,MV,5.7667,73.3833,82.92,74,100,15.93,light rain
81,Xuddur,SO,4.1213,43.8894,71.89,80,49,14.92,scattered clouds
82,Albany,US,42.6001,-73.9662,79.45,66,6,9.62,clear sky
83,Lebu,CL,-37.6167,-73.65,49.87,77,100,12.33,overcast clouds
84,Muros,ES,42.7762,-9.0603,60.24,83,13,9.4,few clouds
85,Zalesovo,RU,53.9939,84.7431,50.59,87,100,9.69,overcast clouds
86,Alyangula,AU,-13.8483,136.4192,80.47,61,40,13.94,scattered clouds
87,Saint-Philippe,RE,-21.3585,55.7679,72.48,85,58,2.98,light rain
88,Khawhai,IN,23.3667,93.1167,63.16,95,76,1.52,broken clouds
89,Paita,PE,-5.0892,-81.1144,68.07,82,42,14.47,scattered clouds
90,Anadyr,RU,64.75,177.4833,50.5,66,0,12.5,clear sky
91,Banda Aceh,ID,5.5577,95.3222,80.89,77,40,9.19,scattered clouds
92,Mahebourg,MU,-20.4081,57.7,68.29,88,20,8.05,few clouds
93,Palmer,US,42.1584,-72.3287,81.95,67,75,7.31,broken clouds
94,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,93,90,16.67,light rain
95,The Valley,AI,18.217,-63.0578,81.1,76,100,20.74,overcast clouds
96,Kloulklubed,PW,7.0419,134.2556,84.7,78,83,5.93,broken clouds
97,Tautira,PF,-17.7333,-149.15,86.02,81,17,15.93,few clouds
98,Labuhan,ID,-6.8844,112.2051,81.63,76,11,5.84,few clouds
99,Huanren,CN,41.2647,125.3667,63.21,79,97,3.49,overcast clouds
100,Mount Isa,AU,-20.7333,139.5,69.57,30,0,13.8,clear sky
101,Alofi,NU,-19.0595,-169.9187,78.69,65,90,12.66,overcast clouds
102,Norman Wells,CA,65.282,-126.8329,51.84,66,90,17.27,light rain
103,Gambissara,SN,13.2382,-14.3108,82.98,59,100,10.74,overcast clouds
104,Vagur,FO,61.4732,-6.8119,48.63,93,100,11.92,overcast clouds
105,Fortuna,US,40.5982,-124.1573,67.19,67,20,14.0,few clouds
106,Vila Velha,BR,-20.3297,-40.2925,71.55,93,90,3.0,overcast clouds
107,Kidal,ML,18.4411,1.4078,94.53,12,91,8.63,overcast clouds
108,Birjand,IR,32.8663,59.2211,68.47,18,0,6.91,clear sky
109,Codrington,AU,-38.2667,141.9667,57.79,86,100,15.23,overcast clouds
110,Palauig,PH,15.435,119.9045,84.42,72,100,5.41,moderate rain
111,El Paso,US,31.8001,-106.2005,94.66,10,75,28.36,broken clouds
112,Puerto Cabezas,NI,14.0351,-83.3888,79.25,84,19,7.65,few clouds
113,Asau,RO,46.4333,26.4,56.75,97,60,4.09,broken clouds
114,Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,6.76,clear sky
115,Mattru,SL,7.6244,-11.8332,74.5,96,100,2.04,overcast clouds
116,Plettenberg Bay,ZA,-34.0527,23.3716,59.4,28,0,6.87,clear sky
117,Kahului,US,20.8947,-156.47,86.02,64,40,25.32,scattered clouds
118,Faanui,PF,-16.4833,-151.75,80.76,73,13,10.54,few clouds
119,Tasiilaq,GL,65.6145,-37.6368,42.96,98,100,3.74,overcast clouds
120,Jamestown,US,42.097,-79.2353,74.52,60,1,5.75,clear sky
121,Petropavlovka,RU,50.6114,105.3196,66.09,66,38,10.33,scattered clouds
122,Alta Floresta,BR,-9.8756,-56.0861,73.98,68,100,2.82,overcast clouds
123,Kaitangata,NZ,-46.2817,169.8464,52.93,66,100,2.8,overcast clouds
124,Aklavik,CA,68.2191,-135.0107,47.12,74,96,10.58,overcast clouds
125,Storforshei,NO,66.4043,14.5233,50.67,68,0,4.85,clear sky
126,Chalon-Sur-Saone,FR,46.7833,4.85,60.39,97,34,4.63,scattered clouds
127,Emba,KZ,48.8264,58.1442,58.46,47,92,14.03,overcast clouds
128,Port Antonio,JM,18.18,-76.4612,84.11,84,3,10.07,clear sky
129,Daru,PG,-9.0763,143.2092,79.09,89,78,15.57,broken clouds
130,Nanzhang,CN,31.7765,111.8386,84.67,49,0,3.27,clear sky
131,Horsham,GB,51.064,-0.3272,59.02,87,0,2.93,clear sky
132,Cherskiy,RU,68.75,161.3,70.11,27,47,22.73,scattered clouds
133,Mar Del Plata,AR,-38.0023,-57.5575,49.12,56,0,8.01,clear sky
134,Isangel,VU,-19.55,169.2667,77.68,75,100,12.41,overcast clouds
135,Micheweni,TZ,-4.9667,39.8333,77.72,78,25,16.87,scattered clouds
136,Serrana,BR,-21.2114,-47.5956,71.55,53,15,2.51,few clouds
137,Lodwar,KE,3.1191,35.5973,82.83,45,100,15.97,overcast clouds
138,Bengkulu,ID,-3.8004,102.2655,77.18,90,15,2.95,few clouds
139,Christchurch,NZ,-43.5333,172.6333,52.92,90,75,4.0,broken clouds
140,Katsuura,JP,35.1333,140.3,73.51,93,100,11.01,overcast clouds
141,Tamandare,BR,-8.7597,-35.1047,75.45,87,20,9.48,few clouds
142,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,80.67,46,100,6.31,overcast clouds
143,Turukhansk,RU,65.8167,87.9833,31.68,83,100,15.32,overcast clouds
144,Pochutla,MX,15.7432,-96.4661,84.81,71,100,5.19,overcast clouds
145,Saldanha,ZA,-33.0117,17.9442,62.17,35,10,12.93,clear sky
146,Khatanga,RU,71.9667,102.5,35.17,77,100,12.3,overcast clouds
147,Barguzin,RU,53.6167,109.6167,67.84,51,41,8.79,scattered clouds
148,Stephenville Crossing,CA,48.5,-58.4318,59.22,94,90,3.44,overcast clouds
149,Kavieng,PG,-2.5744,150.7967,82.9,73,100,3.65,moderate rain
150,Longyearbyen,SJ,78.2186,15.6401,35.44,69,75,12.66,broken clouds
151,San Julian,MX,21.0167,-102.1667,74.57,32,79,6.49,broken clouds
152,Zapolyarnyy,RU,69.4154,30.8136,40.28,69,7,10.38,clear sky
153,Upernavik,GL,72.7868,-56.1549,35.82,85,6,4.25,clear sky
154,Yellowknife,CA,62.456,-114.3525,64.92,45,40,12.66,scattered clouds
155,Saint Anthony,US,45.0205,-93.218,94.62,40,1,3.0,clear sky
156,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.76,73,43,2.75,scattered clouds
157,Mount Gambier,AU,-37.8333,140.7667,60.71,88,75,18.41,broken clouds
158,Hukuntsi,BW,-24.0,21.75,45.14,60,0,11.43,clear sky
159,Ponta Do Sol,PT,32.6667,-17.1,67.01,74,54,4.45,broken clouds
160,Bilibino,RU,68.0546,166.4372,69.26,31,81,9.13,broken clouds
161,Kushiro,JP,42.975,144.3747,67.15,55,0,15.17,clear sky
162,Uberaba,BR,-19.7483,-47.9319,72.18,56,0,5.75,clear sky
163,Beringovskiy,RU,63.05,179.3167,37.94,89,100,1.9,overcast clouds
164,Airai,TL,-8.9266,125.4092,67.68,68,66,3.15,broken clouds
165,Hay River,CA,60.8156,-115.7999,57.18,67,75,8.05,broken clouds
166,Severo-Kurilsk,RU,50.6789,156.125,44.71,92,70,14.36,broken clouds
167,Gien,FR,47.6933,2.6309,53.55,94,0,4.88,clear sky
168,Gushikawa,JP,26.3544,127.8686,83.79,81,40,19.19,scattered clouds
169,Waddan,LY,29.1614,16.139,70.95,32,1,7.99,clear sky
170,Meulaboh,ID,4.1363,96.1285,76.14,81,100,4.41,overcast clouds
171,Dikson,RU,73.5069,80.5464,30.76,96,100,11.95,overcast clouds
172,Nome,US,64.5011,-165.4064,34.16,93,90,17.27,light snow
173,Qianguo,CN,45.1171,124.8568,62.24,64,72,5.35,broken clouds
174,Warri,NG,5.5167,5.75,74.23,97,72,2.86,broken clouds
175,Bredasdorp,ZA,-34.5322,20.0403,45.72,87,0,4.72,clear sky
176,Innisfail,AU,-17.5333,146.0333,71.51,66,100,10.89,overcast clouds
177,Tuktoyaktuk,CA,69.4541,-133.0374,34.61,80,24,11.63,few clouds
178,Cabadiangan,PH,9.7531,122.4739,80.42,82,93,6.76,overcast clouds
179,Campo Verde,BR,-20.4167,-54.0667,70.81,33,93,1.95,overcast clouds
180,Esperance,AU,-33.8667,121.9,57.04,59,8,17.43,clear sky
181,Sokoto,NG,13.0609,5.239,85.19,48,24,14.29,few clouds
182,Mogadishu,SO,2.0371,45.3438,79.34,81,90,14.85,overcast clouds
183,Strezhevoy,RU,60.7333,77.5889,53.58,61,99,1.52,overcast clouds
184,Saint-Augustin,CA,51.226,-58.6502,48.45,97,100,12.26,overcast clouds
185,Bodmin,GB,50.4715,-4.7243,56.84,100,75,2.28,broken clouds
186,Caravelas,BR,-17.7125,-39.2481,72.45,91,5,6.87,clear sky
187,Stratford,US,41.1845,-73.1332,85.26,61,1,6.91,clear sky
188,Kimbe,PG,-5.5502,150.1429,89.74,56,15,2.59,few clouds
189,Nikolskoye,RU,59.7035,30.7861,53.49,65,100,3.96,overcast clouds
190,Souillac,MU,-20.5167,57.5167,68.38,88,20,2.75,few clouds
191,Aswan,EG,24.0934,32.907,77.95,28,4,11.5,clear sky
192,Pevek,RU,69.7008,170.3133,46.08,74,39,10.51,scattered clouds
193,Prado,BR,-17.3411,-39.2208,72.73,90,31,7.99,scattered clouds
194,Dwarka,IN,22.2394,68.9678,84.7,68,0,10.16,clear sky
195,Along,IN,28.1667,94.7667,71.26,97,100,1.54,overcast clouds
196,Geraldton,AU,-28.7667,114.6,55.13,76,0,6.93,clear sky
197,Havoysund,NO,70.9963,24.6622,41.88,82,15,16.64,few clouds
198,Sobolevo,RU,54.4299,31.8996,53.44,69,80,3.53,light rain
199,San,ML,13.3034,-4.8956,90.84,29,35,13.71,scattered clouds
200,Goundam,ML,16.4145,-3.6708,93.94,18,0,7.61,clear sky
201,Thompson,CA,55.7435,-97.8558,55.56,94,90,6.91,overcast clouds
202,Itanhaem,BR,-24.1831,-46.7889,79.25,71,48,4.94,scattered clouds
203,Leningradskiy,RU,69.3833,178.4167,37.09,93,100,12.57,overcast clouds
204,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,87,1,0.51,clear sky
205,Manokwari,ID,-0.8667,134.0833,82.27,71,100,4.21,overcast clouds
206,Shiraz,IR,29.6036,52.5388,80.04,11,0,4.61,clear sky
207,Tuatapere,NZ,-46.1333,167.6833,49.82,75,13,1.68,few clouds
208,Melbourne,US,28.0836,-80.6081,80.98,81,1,12.66,clear sky
209,Pertuis,FR,43.6925,5.5028,64.47,81,85,2.44,overcast clouds
210,Hasaki,JP,35.7333,140.8333,73.69,74,100,6.93,light rain
211,Nuuk,GL,64.1835,-51.7216,43.41,75,75,14.97,light rain
212,Itarema,BR,-2.9248,-39.9167,77.41,82,0,10.42,clear sky
213,Stornoway,GB,58.2093,-6.3865,55.92,93,75,10.36,broken clouds
214,Port Hardy,CA,50.6996,-127.4199,51.98,71,75,13.8,broken clouds
215,Bousso,TD,10.4795,16.7117,81.12,58,100,5.61,overcast clouds
216,Bichena,ET,10.45,38.2,58.14,40,36,3.42,scattered clouds
217,Balingasay,PH,16.3573,119.8564,84.56,72,100,9.93,light rain
218,Qaanaaq,GL,77.484,-69.3632,36.54,75,93,5.75,overcast clouds
219,Cabo San Lucas,MX,22.8909,-109.9124,96.8,29,1,17.27,clear sky
220,Hithadhoo,MV,-0.6,73.0833,82.92,73,99,13.42,overcast clouds
221,Sovetskiy,RU,61.3614,63.5842,65.97,49,66,9.31,broken clouds
222,Gamba,GA,-2.65,10.0,75.83,91,100,3.15,overcast clouds
223,Chiapa,MX,18.4669,-96.945,65.82,88,98,1.36,overcast clouds
224,Montrose,US,38.4166,-108.2673,72.97,21,88,8.14,overcast clouds
225,Urucara,BR,-2.5364,-57.76,75.47,94,100,2.3,overcast clouds
226,Whitehorse,CA,60.7161,-135.0538,61.57,36,75,6.91,light rain
227,Srednekolymsk,RU,67.45,153.6833,68.54,29,1,22.1,clear sky
228,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.45,97,82,1.92,broken clouds
229,Chuy,UY,-33.6971,-53.4616,55.96,88,100,10.96,overcast clouds
230,Middelburg,ZA,-25.7751,29.4648,40.01,81,0,5.7,clear sky
231,Araouane,ML,18.9048,-3.5265,96.26,7,3,8.97,clear sky
232,Comodoro Rivadavia,AR,-45.8667,-67.5,42.66,65,0,8.05,clear sky
233,Kamaishi,JP,39.2667,141.8833,72.55,57,100,10.45,overcast clouds
234,Smithers,CA,54.7804,-127.1743,55.72,47,75,2.3,broken clouds
235,Qeshm,IR,26.9581,56.2719,87.67,87,45,15.14,scattered clouds
236,Tessalit,ML,20.1986,1.0114,93.29,10,12,8.59,few clouds
237,Cam Ranh,VN,11.9214,109.1591,85.96,70,20,2.3,few clouds
238,Burnie,AU,-41.0667,145.9167,51.84,72,100,5.68,light rain
239,Kyabe,TD,9.4515,18.9449,76.15,75,100,1.41,overcast clouds
240,Bakaly,RU,55.1789,53.8028,50.74,65,7,3.89,clear sky
241,Roseburg,US,43.2165,-123.3417,67.62,42,20,11.5,few clouds
242,Bozoum,CF,6.3193,16.3799,68.18,92,100,2.06,overcast clouds
243,Balkanabat,TM,39.5108,54.3671,73.53,52,0,6.67,clear sky
244,Turkistan,KZ,43.0,68.0,77.25,37,40,14.99,scattered clouds
245,Adrar,MR,20.5022,-10.0711,89.38,13,8,22.12,clear sky
246,Matara,LK,5.9485,80.5353,77.61,89,91,7.09,overcast clouds
247,Tiksi,RU,71.6872,128.8694,42.06,60,85,7.0,overcast clouds
248,Guanambi,BR,-14.2233,-42.7814,68.34,66,9,6.42,clear sky
249,Kiama,AU,-34.6833,150.8667,65.57,52,5,8.99,clear sky
250,Zhigansk,RU,66.7697,123.3711,51.39,44,1,6.55,clear sky
251,Pedernales,DO,18.0384,-71.744,80.46,70,6,12.01,clear sky
252,Prainha,BR,-1.8,-53.48,77.14,79,95,3.4,overcast clouds
253,Mantua,IT,45.1667,10.7833,68.95,93,5,8.34,clear sky
254,Dakoro,NE,14.5106,6.765,86.4,33,11,5.46,few clouds
255,Luderitz,NA,-26.6481,15.1594,69.42,32,0,21.72,clear sky
256,Rocha,UY,-34.4833,-54.3333,49.96,91,100,6.38,overcast clouds
257,Kikwit,CD,-5.041,18.8162,71.98,50,28,3.22,scattered clouds
258,Namatanai,PG,-3.6667,152.4333,84.74,72,72,6.17,broken clouds
259,Saint-Agapit,CA,46.5629,-71.4352,68.04,91,100,8.03,overcast clouds
260,Linares,CL,-35.85,-71.6,46.29,81,100,3.76,overcast clouds
261,Dagana,MR,16.5165,-15.5068,89.98,25,0,8.32,clear sky
262,Chaozhou,CN,23.6651,116.6379,76.86,80,44,3.58,scattered clouds
263,Manono,CD,-7.3,27.4167,74.03,58,56,8.9,broken clouds
264,Matamoros,MX,25.5333,-103.25,93.31,19,40,4.41,scattered clouds
265,North Bend,US,43.4065,-124.2243,60.71,68,40,14.97,scattered clouds
266,Flinders,AU,-34.5833,150.8552,65.37,53,5,1.99,clear sky
267,Barcelona,ES,41.3888,2.159,71.33,71,20,1.01,few clouds
268,Mahibadhoo,MV,3.7833,72.9667,83.21,70,96,15.39,overcast clouds
269,San Patricio,US,28.017,-97.5169,83.12,79,0,9.22,clear sky
270,Inyonga,TZ,-6.7167,32.0667,64.27,66,100,6.85,overcast clouds
271,Yulara,AU,-25.2406,130.9889,60.64,48,0,11.5,clear sky
272,Sitka,US,57.0531,-135.33,55.29,71,75,8.05,light rain
273,Vestmannaeyjar,IS,63.4427,-20.2734,46.99,89,100,19.6,overcast clouds
274,Northam,GB,51.0333,-4.2167,58.39,96,100,3.91,overcast clouds
275,Barinitas,VE,8.7622,-70.4111,76.48,97,100,2.39,overcast clouds
276,Vasylivka,UA,47.4369,35.2742,59.88,86,14,7.11,few clouds
277,Tateyama,JP,34.9833,139.8667,73.42,88,75,5.75,broken clouds
278,Ilulissat,GL,69.2167,-51.1,42.82,70,11,10.36,few clouds
279,San Ramon,US,37.7799,-121.978,91.38,46,1,8.01,clear sky
280,Biloela,AU,-24.4167,150.5,67.55,32,0,9.22,clear sky
281,Bairnsdale,AU,-37.8333,147.6167,63.07,61,65,1.01,broken clouds
282,Penugonda,IN,16.6667,81.7333,84.58,77,90,3.87,overcast clouds
283,Chapais,CA,49.7834,-74.8492,55.18,70,98,3.91,overcast clouds
284,Nemuro,JP,43.3236,145.575,72.03,80,100,17.11,overcast clouds
285,Rio Gallegos,AR,-51.6226,-69.2181,30.25,80,0,6.91,clear sky
286,Tucupita,VE,9.0622,-62.051,74.25,97,100,4.88,overcast clouds
287,Trairi,BR,-3.2778,-39.2689,76.41,84,4,7.87,clear sky
288,Saint-Francois,FR,46.4154,3.9054,59.18,100,90,2.3,overcast clouds
289,Kysyl-Syr,RU,63.8986,122.7617,56.25,45,100,4.76,overcast clouds
290,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.99,87,0,10.38,clear sky
291,Mahajanga,MG,-15.7167,46.3167,71.62,78,0,3.44,clear sky
292,Matane,CA,48.8286,-67.522,60.22,91,4,2.84,clear sky
293,Kolyshley,RU,52.7005,44.5367,59.13,96,91,10.04,light rain
294,Victoria,HK,22.2855,114.1577,86.32,76,78,1.01,broken clouds
295,Kolokani,ML,13.5728,-8.0339,93.78,19,6,8.79,clear sky
296,Lavrentiya,RU,65.5833,-171.0,36.12,74,96,13.78,overcast clouds
297,San Rafael,AR,-34.6177,-68.3301,50.79,50,99,3.65,overcast clouds
298,Port Blair,IN,11.6667,92.75,84.72,75,100,9.89,heavy intensity rain
299,Buala,SB,-8.145,159.5921,85.24,69,89,7.25,overcast clouds
300,Bandarbeyla,SO,9.4942,50.8122,79.65,79,71,19.22,broken clouds
301,Kjollefjord,NO,70.9457,27.3465,40.5,86,19,16.24,few clouds
302,Wang Saphung,TH,17.301,101.7685,78.82,89,90,2.33,overcast clouds
303,Yalova,TR,40.655,29.2769,60.98,65,0,4.32,clear sky
304,Arkhara,RU,49.4212,130.0842,62.08,63,21,2.3,few clouds
305,Balaka,MW,-14.9793,34.9558,55.92,83,17,7.94,few clouds
306,Solnechnyy,RU,50.7214,136.6319,60.93,54,13,3.29,few clouds
307,Goundi,TD,9.3627,17.366,76.71,75,100,0.98,overcast clouds
308,Linqu,CN,36.5156,118.5397,88.36,24,1,9.57,light rain
309,Uturoa,PF,-16.7333,-151.4333,80.67,74,8,10.76,clear sky
310,Lakes Entrance,AU,-37.8811,147.981,63.18,54,82,6.26,broken clouds
311,Macusani,PE,-14.0833,-70.4333,35.02,88,34,3.65,scattered clouds
312,Nara,JP,34.6851,135.8049,72.5,51,100,4.05,overcast clouds
313,Dudinka,RU,69.4058,86.1778,31.95,95,100,9.82,light snow
314,Hadgaon,IN,19.5,77.6667,76.95,77,100,4.12,overcast clouds
315,Shakawe,BW,-18.3667,21.85,44.56,61,0,5.84,clear sky
316,Cockburn Town,TC,21.4612,-71.1419,80.1,83,0,23.58,clear sky
317,Sola,VU,-13.8833,167.55,79.34,74,91,10.65,overcast clouds
318,Touros,BR,-5.1989,-35.4608,76.1,81,30,12.1,scattered clouds
319,Moose Factory,CA,51.2585,-80.6094,39.2,75,1,5.75,clear sky
320,Megion,RU,61.0296,76.1136,53.62,55,100,3.09,overcast clouds
321,Alice Town,BS,25.7167,-79.3,79.83,82,15,17.27,few clouds
322,Aras,ES,42.5617,-2.356,55.2,94,0,5.79,clear sky
323,Zaraza,VE,9.3503,-65.3245,74.71,92,87,5.7,overcast clouds
324,Tuy Hoa,VN,13.0833,109.3,86.63,65,100,11.77,overcast clouds
325,Moerai,PF,-22.4333,-151.3333,74.08,91,100,7.38,moderate rain
326,Olafsvik,IS,64.8945,-23.7142,48.31,80,79,9.82,broken clouds
327,Siniscola,IT,40.5719,9.6922,67.55,78,100,1.68,overcast clouds
328,Nakapiripirit,UG,1.9167,34.7833,67.51,70,93,1.19,overcast clouds
329,Husavik,IS,66.0449,-17.3389,49.91,83,100,2.26,overcast clouds
330,Orange,US,33.7,-117.7675,88.81,60,40,1.01,scattered clouds
331,Bambous Virieux,MU,-20.3428,57.7575,68.25,88,20,3.33,few clouds
332,Acarau,BR,-2.8856,-40.12,77.27,84,0,10.16,clear sky
